u,v,length,from,to,geometry
611011080,6103692960,296.661452,6103692960,611011080,"LINESTRING (100.4144396 -1.05716, 100.414439 -1.0568599, 100.4144389 -1.0564125, 100.4144248 -1.0562088, 100.4144114 -1.0561485, 100.4143859 -1.0560788, 100.4142639 -1.0558361, 100.4141499 -1.0556269, 100.4140366 -1.0554177, 100.4137456 -1.0550067, 100.4136611 -1.0549115, 100.4136195 -1.054868, 100.4135652 -1.054823, 100.4135037 -1.0547876)"
611011080,6103624329,14.51364064,6103624329,611011080,"LINESTRING (100.4133832 -1.0547382, 100.4134499 -1.0547607, 100.4135037 -1.0547876)"
611011092,1541552965,122.1523264,1541552965,611011092,"LINESTRING (100.3647941 -0.9539976, 100.3646283 -0.9540284, 100.3644952 -0.9540796, 100.3644003 -0.954129, 100.3643131 -0.9541866, 100.3641348 -0.954318, 100.3638612 -0.9545433)"
611011092,1359203627,149.7901013,1359203627,611011092,"LINESTRING (100.3636587 -0.9532118, 100.3636761 -0.9533378, 100.3637525 -0.9539144, 100.3637874 -0.9541316, 100.3638069 -0.954249, 100.3638612 -0.9545433)"
611011092,611262198,102.2587454,611262198,611011092,"LINESTRING (100.3631101 -0.9550724, 100.3636962 -0.9546814, 100.3638612 -0.9545433)"
611011107,7724032556,99.55520584,7724032556,611011107,"LINESTRING (100.3694469 -0.9557443, 100.3693724 -0.9557355, 100.3691036 -0.9557622, 100.3689654 -0.9557595, 100.3687495 -0.9557072, 100.3685678 -0.9556519)"
611011107,1541552989,19.93829526,1541552989,611011107,"LINESTRING (100.3683992 -0.9555908, 100.3684102 -0.9555946, 100.3685678 -0.9556519)"
611011107,1541553067,62.88807648,1541553067,611011107,"LINESTRING (100.368587 -0.9562145, 100.3685736 -0.9561364, 100.3685637 -0.9560465, 100.3685564 -0.9559432, 100.3685515 -0.9557921, 100.3685678 -0.9556519)"
611011173,6103196068,80.96867461,6103196068,611011173,"LINESTRING (100.4117429 -1.0389893, 100.4115911 -1.0387661, 100.4113157 -1.0383998)"
611011173,6103196084,108.6736281,6103196084,611011173,"LINESTRING (100.4107066 -1.0376363, 100.4108625 -1.0378124, 100.4109038 -1.0378579, 100.4110613 -1.0380573, 100.4113157 -1.0383998)"
611011173,6103408222,73.42778033,6103408222,611011173,"LINESTRING (100.4109328 -1.0389317, 100.4110117 -1.0388029, 100.4110399 -1.0387412, 100.4110801 -1.0386688, 100.4111405 -1.0385803, 100.4113157 -1.0383998)"
611011178,6103351592,10.57352769,6103351592,611011178,"LINESTRING (100.4122619 -1.0400028, 100.4123029 -1.0400886)"
611011178,6103351280,181.6864083,6103351280,611011178,"LINESTRING (100.4128558 -1.0416254, 100.4127659 -1.0413291, 100.4126045 -1.0408657, 100.4124581 -1.0404749, 100.4123029 -1.0400886)"
611011178,6103351587,76.73805113,6103351587,611011178,"LINESTRING (100.4128564 -1.0400217, 100.4128061 -1.0399044, 100.41279 -1.0398863, 100.4127632 -1.0398756, 100.4127438 -1.0398756, 100.4127002 -1.0398903, 100.412495 -1.0399895, 100.4123029 -1.0400886)"
611011212,6103196060,102.1830116,6103196060,611011212,"LINESTRING (100.4102643 -1.036419, 100.4108548 -1.0357148)"
611011212,6103131170,88.71627542,6103131170,611011212,"LINESTRING (100.4114191 -1.0351507, 100.4110801 -1.0354869, 100.4108548 -1.0357148)"
611011212,6359678472,180.1928356,6359678472,611011212,"LINESTRING (100.4101867 -1.0346912, 100.4101414 -1.0347958, 100.4101135 -1.0348246, 100.4100813 -1.0348518, 100.4100361 -1.0348849, 100.4099925 -1.0349198, 100.4099563 -1.0349545, 100.4099402 -1.0349867, 100.4099415 -1.035035, 100.409959 -1.0350779, 100.4099952 -1.0351262, 100.410139 -1.035243, 100.4101739 -1.0352782, 100.410215 -1.0353218, 100.4102474 -1.0353529, 100.4102659 -1.0353674, 100.4102902 -1.0353782, 100.4103264 -1.0353812, 100.4103675 -1.0353786, 100.4104107 -1.0353833, 100.4104499 -1.0353887, 100.4104813 -1.0354055, 100.4105078 -1.0354208, 100.4105392 -1.035446, 100.410574 -1.0354731, 100.4106134 -1.0355056, 100.410661 -1.0355472, 100.4106982 -1.0355808, 100.4107388 -1.0356151, 100.4107963 -1.0356651, 100.4108548 -1.0357148)"
