osmid,y,x,geometry,status,ETA
6076157332,-0.9021733,100.3551923,POINT (100.3551923 -0.9021733),intersection,58.47585721
6076181233,-0.8737239,100.3654933,POINT (100.3654933 -0.8737239),intersection,59.13764384
6076181235,-0.8725504,100.3723158,POINT (100.3723158 -0.8725504),intersection,59.44024911
6076181236,-0.8727522,100.3723882,POINT (100.3723882 -0.8727522),intersection,59.44071717
6076181239,-0.8750836,100.3651755,POINT (100.3651755 -0.8750836),intersection,59.10654225
6076181240,-0.87494,100.3654453,POINT (100.3654453 -0.87494),intersection,59.11986557
6076181247,-0.8740474,100.3663395,POINT (100.3663395 -0.8740474),intersection,59.16941392
6076181248,-0.8732938,100.3659932,POINT (100.3659932 -0.8732938),intersection,59.16446131
6076181252,-0.8722714,100.3650359,POINT (100.3650359 -0.8722714),intersection,59.14445234
6076181256,-0.8734625,100.3656691,POINT (100.3656691 -0.8734625),intersection,59.14850249
6076181265,-0.8745761,100.3641904,POINT (100.3641904 -0.8745761),intersection,59.07123851
6076181267,-0.8748758,100.3636975,POINT (100.3636975 -0.8748758),intersection,59.04641208
6076181268,-0.8747722,100.3638675,POINT (100.3638675 -0.8747722),intersection,59.0549776
6076181269,-0.8752556,100.3640682,POINT (100.3640682 -0.8752556),intersection,59.05725481
6076181270,-0.8754561,100.3636635,POINT (100.3636635 -0.8754561),intersection,59.03746215
6076181271,-0.8746625,100.3633247,POINT (100.3633247 -0.8746625),intersection,59.03333068
6076181275,-0.8730775,100.3639202,POINT (100.3639202 -0.8730775),intersection,59.08656942
6076222306,-0.8960144,100.3612742,POINT (100.3612742 -0.8960144),intersection,59.73761274
6076222316,-0.8987123,100.361198,POINT (100.361198 -0.8987123),intersection,59.71215387
6076222321,-0.8984272,100.3600902,POINT (100.3600902 -0.8984272),intersection,59.667532
6076238655,-0.8854444,100.3428923,POINT (100.3428923 -0.8854444),intersection,59.02290903
6076238658,-0.8855312,100.3431549,POINT (100.3431549 -0.8855312),intersection,59.03314106
6076238664,-0.8858688,100.3426818,POINT (100.3426818 -0.8858688),intersection,59.00827316
6076238665,-0.8856965,100.3432108,POINT (100.3432108 -0.8856965),intersection,59.03340752
6076238666,-0.886502,100.344101,POINT (100.344101 -0.886502),intersection,59.06321143
6076238667,-0.8865843,100.3438299,POINT (100.3438299 -0.8865843),intersection,59.05040842
6076245502,-0.873739,100.3691374,POINT (100.3691374 -0.873739),intersection,59.28979862
6076245519,-0.8733189,100.3716007,POINT (100.3716007 -0.8733189),intersection,59.39992414
6076245523,-0.8731051,100.3715124,POINT (100.3715124 -0.8731051),intersection,59.39893314
