{'node_id': '705461372', 'longitude': 100.3814089, 'latitude': -0.8409669, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461390', 'longitude': 100.3939059, 'latitude': -0.835913, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461405', 'longitude': 100.3907504, 'latitude': -0.8718412, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461414', 'longitude': 100.3514224, 'latitude': -0.8639738, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461416', 'longitude': 100.386801, 'latitude': -0.853299, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461482', 'longitude': 100.3933648, 'latitude': -0.8912098, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461489', 'longitude': 100.4055347, 'latitude': -0.8215231, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461495', 'longitude': 100.3651414, 'latitude': -0.9026676, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461508', 'longitude': 100.3857011, 'latitude': -0.8371815, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461509', 'longitude': 100.3641307, 'latitude': -0.848813, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461521', 'longitude': 100.3909649, 'latitude': -0.8358996, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461565', 'longitude': 100.3624865, 'latitude': -0.8500547, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461569', 'longitude': 100.3910125, 'latitude': -0.8693624, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461578', 'longitude': 100.3598727, 'latitude': -0.8849159, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461587', 'longitude': 100.3549898, 'latitude': -0.8550833, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461602', 'longitude': 100.3511267, 'latitude': -0.8635575, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461612', 'longitude': 100.3909951, 'latitude': -0.8689474, 'status': 'intersection', 'name': nan, 'eta': nan}
