Processing edge (6080271662 -> 1438796517): alt=11.28, rst=31.25
Processing edge (1610604847 -> 1610604762): alt=11.34, rst=34.13
Processing edge (1610604847 -> 1643334971): alt=12.63, rst=35.51
Processing edge (13893791674 -> 10698584472): alt=10.79, rst=35.31
Processing edge (13893791674 -> 13893791673): alt=11.15, rst=34.81
Processing edge (1438796517 -> 6079835578): alt=10.86, rst=31.33
Processing edge (1610693299 -> 1610693323): alt=12.88, rst=34.03
Processing edge (1610693299 -> 1610693326): alt=10.64, rst=inf
Processing edge (6106845873 -> 1438785909): alt=10.82, rst=32.05
Processing edge (6106845873 -> 6106845872): alt=11.04, rst=31.93
Processing edge (6079835575 -> 1624251525): alt=11.05, rst=31.64
Processing edge (6079835575 -> 6079835578): alt=12.12, rst=31.33
Processing edge (1610693326 -> 1605653974): alt=11.51, rst=inf
Processing edge (1610693326 -> 1610693319): alt=11.55, rst=inf
Processing edge (1587365537 -> 1587365530): alt=11.44, rst=32.67
Processing edge (6079950239 -> 1638253354): alt=10.84, rst=33.22
Processing edge (6079950239 -> 6079949936): alt=11.47, rst=33.50
Processing edge (1588807162 -> 1587365500): alt=12.57, rst=32.88
Processing edge (4365734248 -> 6079968069): alt=11.48, rst=33.88
Processing edge (4365734248 -> 6079952652): alt=12.54, rst=33.81
Processing edge (6082568280 -> 1387990350): alt=13.88, rst=33.10
Processing edge (6082568280 -> 1638253371): alt=11.53, rst=33.11
Processing edge (10698584472 -> 10698584468): alt=11.61, rst=34.93
Processing edge (1438785909 -> 1438785906): alt=11.29, rst=32.14
Processing edge (1610693056 -> 1610692710): alt=13.47, rst=inf
Processing edge (1610693056 -> 1610693319): alt=11.66, rst=inf
Processing edge (1638253354 -> 1638253171): alt=12.85, rst=32.45
Processing edge (1638253354 -> 1638253240): alt=11.30, rst=33.14
Processing edge (6079835578 -> 1624251587): alt=11.32, rst=31.40
Processing edge (1610690552 -> 1610690551): alt=12.09, rst=inf
Processing edge (1610690552 -> 1610690919): alt=11.92, rst=inf
Processing edge (1605653975 -> 1605653974): alt=11.44, rst=inf
Processing edge (1605653975 -> 1605654018): alt=13.48, rst=inf
Processing edge (1575904416 -> 610963348): alt=11.42, rst=32.05
Processing edge (1575904416 -> 1585723641): alt=12.19, rst=31.44
Processing edge (1624251525 -> 1438796497): alt=11.91, rst=31.78
Processing edge (1624251525 -> 1624251587): alt=12.69, rst=31.40
Processing edge (1638253343 -> 1638253154): alt=13.08, rst=33.14
Processing edge (1638253343 -> 1638253171): alt=11.81, rst=32.45
Processing edge (13893791673 -> 10698584468): alt=11.76, rst=34.93
Processing edge (1438785906 -> 1438785965): alt=12.04, rst=32.07
Processing edge (1438785906 -> 6080214344): alt=14.72, rst=31.94
Processing edge (1638253240 -> 1638253154): alt=11.51, rst=33.14
Processing edge (1638253240 -> 5395115531): alt=12.31, rst=33.55
Processing edge (1624251587 -> 12241886738): alt=11.71, rst=31.45
Processing edge (1610604762 -> 6079968066): alt=12.19, rst=34.44
Processing edge (1610604762 -> 6079968069): alt=12.21, rst=33.88
Processing edge (610963348 -> 6080311648): alt=13.31, rst=32.94
Processing edge (610963348 -> 1585723647): alt=12.14, rst=32.25
Processing edge (1605653974 -> 1641542401): alt=11.69, rst=inf
Processing edge (1587365530 -> 1587365500): alt=12.21, rst=32.88
Processing edge (1387990374 -> 6080465161): alt=12.74, rst=32.92
Processing edge (1387990374 -> 1438796506): alt=11.62, rst=32.67
Processing edge (6079949936 -> 6082568274): alt=11.79, rst=33.60
